,Chapter,Test Case,hash,Type,Date,Status,part,_merge,node,up_date
90,9.1.2,Periodic Location Updating and Implicit Detach,818da2c884d55e471928cb5272d29a31,Compact & Cluster,2022-01-01 00:00:00,TBD,Traffic,both,VS40MSK,2023-9-22
91,9.2.1,MS to MS call,3fd513cd70360300ac6bb8458ddc9888,Compact & Cluster,2023-08-16 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
92,9.2.2,MS to PLMN call,b397dd99f6757ddd58ac7ad24aac40e5,Compact & Cluster,2023-08-16 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
93,9.2.3,PLMN to MS call,955f830b837337e10ebed4d78a513d79,Compact & Cluster,2023-08-16 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
94,9.2.4,MS to PSTN call,c7149e16a047d9566cc961908ae32d2d,Compact & Cluster,2023-08-16 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
95,9.2.5,PSTN to MS call,16c9d3ace2b8a88fa4e45a654812bdca,Compact & Cluster,2022-01-01 00:00:00,TBD,Traffic,both,VS40MSK,2023-9-22
96,9.2.6,MS to Announcement,3a33fb07913c161d2824d33cea866c52,Compact & Cluster,2023-08-16 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
97,9.2.7,Emergency call (Era Glonass),35ca96fa278f9e07847c93917d6ad6f8,Compact & Cluster,2022-01-01 00:00:00,TBD,Traffic,both,VS40MSK,2023-9-22
98,9.3.1,UE to UE call,7f79f4a1264ac6f81dda3f892f0b378c,Compact & Cluster,2023-09-14 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
99,9.3.8,Emergency call (112),0dd4153dfc6da54dd2cfebb9b5787102,Compact & Cluster,2023-09-14 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
100,9.4.1,MS to UE Speech Call,8ca6aedd1dca4087bf449612f5d54846,Compact & Cluster,2023-09-14 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
101,9.5.1,Intra-MSC Handover,6311e6c306450bdca5d9aa639f78bc93,Compact & Cluster,2022-01-01 00:00:00,TBD,Traffic,both,VS40MSK,2023-9-22
102,9.5.2,Inter-MSC Handover,f82d1a3a9a7e2f2bba3ab5bb11ad30a4,Compact & Cluster,2022-01-01 00:00:00,TBD,Traffic,both,VS40MSK,2023-9-22
103,9.5.3,Inter-System Handover (GSM – UMTS),e905511c7c7c6c4151c73b140335e1b6,Compact & Cluster,2022-01-01 00:00:00,TBD,Traffic,both,VS40MSK,2023-9-22
104,9.5.4,Inter-System Handover (UMTS – GSM),485a307d92454667d8e8ed93a31e70e2,Compact & Cluster,2022-01-01 00:00:00,TBD,Traffic,both,VS40MSK,2023-9-22
105,9.6.1,UE to DTMF,f0fb5a780278797ab7e76246bf920f4b,Compact & Cluster,2023-09-14 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
106,9.6.2,UE to Voice Mail,89334fa829e818f29d7008906cd4739d,Compact & Cluster,2023-09-18 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
107,9.6.3,"CAW, HOLD and MPTY",7b437f7d8f175e7c35651592b36077fc,Compact & Cluster,2023-09-19 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
108,9.6.4,Call Forwarding Unconditional,ea5a4cb7623aa5142a71dcf7a64e36bc,Compact & Cluster,2023-09-18 00:00:00,OK,Traffic,both,VS40MSK,2023-9-22
109,9.6.5,Call Forwarding Unconditional (UE1 with COLP),2f1e2555b07ab8051d52c3f3bb41c18e,Compact & Cluster,2022-01-01 00:00:00,TBD,Traffic,both,VS40MSK,2023-9-22
